,순위,책이름,저자,줄거리
71,72,1Q84 2,무라카미 하루키,"당신의 하늘에는 몇 개의 달이 떠 있습니까?무라카미 하루키가 <어둠의 저편> 이후 5년 만에 펴낸 장편소설『1Q84』제2권. 해마다 노벨상 후보에 거론되며, 일본은 물론 세계적으로 많은 사랑을 받고 있는 작가 무라카미 하루키. 그가 이번에는 두 남녀의 아련한 첫사랑 이야기인 동시에 '1Q84'를 헤쳐나가며 겪게 되는 환상적인 이야기를 그렸다. 압도적인 이야기의 강렬함과 흡인력이 돋보인다.스타일리시한 여자 암살자 아오마메와 작가지망생 덴고. 꽉 막힌 고속도로의 비상계단을 내려오면서 다른 세계로 접어든 아오마메와, 천재적인 문학성을 가진 열일곱 소녀 후카에리를 만나 기묘한 사건에 휘말리게 된 덴고 앞에 '1Q84'의 세계가 펼쳐진다. 그들은 몇 개의 달이 떠 있는 하늘 아래에서 만나게 될까?하루키는 .."
72,73,1Q84 1,무라카미 하루키,"당신의 하늘에는 몇 개의 달이 떠 있습니까? 압도적인 이야기의 강렬함, 읽기를 멈출 수 없는 놀라운 흡인력전세계 독자가 손꼽아 기다려온 무라카미 하루키 문학의 결정판!『세계의 끝과 하드보일드 원더랜드』로 시작하여 『노르웨이의 숲』으로 마무리되는 무라카미 하루키 문학의 집대성! 『해변의 카프카』 이후 7년 만에, 『어둠의 저편』 이후 5년 만에 출간된 무라카미 하루키 장편소설로, 일본에서는 폭발적인 반응을 불러 일으켰다. 출간되기 전 예약 판매 첫날 종합 베스트셀러 1위를 기록했으며, 당일인 5월 29일 하루에만 68만 부가 판매. 발매 10일 만에 100만 부 판매, 출간 3개월 만에 2009년 일본 전체 서적 판매 1위에 오르는 기염을 토했다. 또한 소설 속 주인공인 아오마메가 택시 안에서 듣는 곡인 야나.."
73,74,천 개의 찬란한 태양,할레드 호세이니,"절망의 끝에서 희망을 피워낸 두 여자가 만들어내는 인간드라마 아프가니스탄에 남겨진 여성들의 삶. 이 책은 아프가니스탄 출신의 작가 할레드 호세이니의 작품으로, 절망의 끝에서 희망을 피워낸 두 여자가 만들어내는 인간드라마를 탄탄한 구성과 흡입력 강한 문체로 그려내고 있다. 전란의 소용돌이에 남겨진 두 여자, 마리암과 라일라. 한 남자의 아내들로 만나게 된 두 여자는, 어쩌면 불가능할 듯도 싶은 연대를 만들어간다. 가난과 차별, 그리고 끊임없는 폭력과 생명의 위협 속에서도 서로에 대한 믿음과 희생으로 희망을 가꿔가는 그들의 이야기가 눈물겹게 펼쳐진다.▶ 작품 자세히 들여다보기!소련 침공, 내전과 뒤이은 탈레반 정권의 폭압, 그리고 미국과의 전쟁 등 아프가니스탄의 비극적인 현대사와 그 전란의 소용돌이 속에 남겨진.."
74,75,무진기행,김승옥,"근대인의 일상과 탈일상을 감각적으로 그려낸, 김승옥의 대표 단편들근대인의 일상과 탈일상을 감각적으로 표현해 내면서 1960년대 문학에 '감수성의 혁명'을 일으킨 김승옥 대표작 모음집. '서울'과 '무진'이라는 공간 사이에서 그리고 현실과 이상 사이에서 갈등하는 주인공의 내면을 섬세하게 표현한 '무진기행'을 비롯해 김승옥의 등단작인 '생명연습', 동인문학상 수상작 '서울 1964년 겨울' 그리고 이상문학상 수상작 '서울의 달빛 0장'까지, 단편 10편을 모아 엮었다. 이번 단편집에는 1962년 등단작 '생명연습'부터 1977년 제1회 이상문학상 수상작인 '서울의 달빛 0장'까지, 20년도 채 안 되는 기간 동안 김승옥이 발표한 작품들이 담겨 있다. 작가의 작품들은 기존의 도덕적 상상력과 윤리적 세계관의 굴레에.."
75,76,왜 나는 너를 사랑하는가,알랭 드 보통,"2005년 4월 14일 'TV 책을 말하다' 추천도서. 남녀가 만나 사랑에 빠지는 그 놀랍도록 기이한 첫 만남에서부터, 점차 시들해지고 서로를 더이상 운명으로 느끼지 않게 되는 이별까지. 연애에 든 남녀의 심리와 그 메카니즘이 아주 흥미진진한 철학적 사유와 함께 기술되어 있다.파리에서 런던으로 가는 비행기에서 그래픽 디자이너 '클로이'와 5840.82분의 1의 확률로 옆 좌석에 앉게 된 `나'는 상상할 수 없을 정도로 희박한 확률로 만났다는 ""낭만적 운명론""에 빠져 사랑을 시작하게 된다. 서로를 이상화하며 서로에게 맞추려고 노력하며 서로를 알아가고 섹스를 하고 사랑을 하다가 클로이가 다른 사람에게 호감을 가지게 되어 `나'를 떠나면서, 사랑은 종말을 맞이한다. 실연을 당한 `나'는 `자.."
76,77,"당신, 거기 있어 줄래요?",기욤 뮈소,"30년 전, 첫사랑을 만날 기회가 주어진다!《구해줘》의 작가 기욤 뮈소의 최신 장편소설『당신 거기 있어줄래요』. '만약 우리에게 시간을 되돌릴 기회가 주어진다면, 인생을 어떻게 바꿀 것인가?'라는 질문을 던지는 이 책은 시간의 개념과 인생의 선택에 대한 성찰의 기회 제공이라는 두 가지 요소를 생생한 화면 구성, 빠른 전개로 결합시켜 독특하게 그려내고 있다.주인공 엘리엇은 명망 있는 외과의사로 성공적인 삶을 열어왔지만 한 가지 떨쳐버릴 수 없는 회한이 있다. 그것은 바로 사랑하는 연인을 사고로부터 구해내지 못한 것이다. 캄보디아에서 만난 신비의 노인으로부터 과거로 돌아갈 수 있는 열 개의 알약을 얻게 된 그는 30년 전으로 돌아갈 수 있는 기회를 부여잡는다. 그러나 죽은 일리나를 살려내면서 그의 삶은 예기치 .."
77,78,톨스토이 단편선 1,레프 톨스토이,"<부활>, <전쟁과 평화> 저자 톨스토이 단편선 개정판 제1권. 톨스토이의 작품 중 삶의 철학과 깨달음의 지혜가 담긴 12편의 작품을 선별해 수록했다. 여기에 파스텔 톤의 삽화를 작품 곳곳에 넣어 글의 감동을 더해주고 있다."
78,79,폭풍의 언덕,에밀리 브론테,"『폭풍의 언덕』은 서른 살의 나이에 요절한 에밀리 브론테가 죽기 일 년 전에 발표한 유일한 소설. 황량한 들판 위의 외딴 저택 워더링 하이츠를 무대로 벌어지는 캐서린과 히스클리프의 비극적인 사랑, 에드거와 이사벨을 향한 히스클리프의 잔인한 복수를 그린 이 작품은 작가가 ‘엘리스 벨’이라는 가명으로 발표했을 당시에는 그 음산한 힘과 등장인물들이 드러내는 야만성 때문에 반도덕적이라는 비난을 받았다. 심지어 그녀의 언니 샬럿마저도 1850년에 출판된 소설의 서문에서 ""어줍잖은 작업장에서 간단한 연장으로 하찮은 재료를 다듬어 만든 것""이라고 말한 바 있다. 에밀리가 이 세상에 남긴 것은 이 한 편의 소설과 완성되지 않은 단편적인 문장을 포함한 193편의 시에 불과하다. 그럼에도 그녀가 불후의 문학적 명성을 얻게 된.."
79,80,꾸뻬 씨의 행복 여행,프랑수아 를로르,"진정한 행복을 찾아 나선 꾸뻬 씨의 여행!파리의 정신과 의사 꾸뻬 씨가 전하는 특별한 행복론 『꾸뻬 씨의 행복 여행』. 현대인의 우울한 마음의 원인을 진단하는 책들을 펴내며 작가로서도 명성을 얻고 있던 정신과 전문의 프랑수아 를로르가 환자들을 진료하며 얻은 경험과 생각들을 바탕으로 쓴 소설이다. 물질적인 풍요보다 정신적인 만족이 행복의 기준이 되어가는 시대, 복잡한 현대인의 심리의 핵심을 짚어보면서 누구나 공감할 수 있는 이야기로 마음을 움직인다. 교보문고와 함께하는 KBS 2TV 북토크쇼 《달빛프린스》의 세 번째 선정도서로, 배우 이보영이 추천했다.성공한 정신과 의사 꾸뻬 씨. 그의 진료실은 언제나 많은 것을 갖고 있으면서도 스스로를 불행하다고 여기는 사람들로 넘쳐난다. 어느 날, 꾸뻬 씨는 자신 역시 행.."
80,81,인간 실격,다자이 오사무,"인간의 나약함을 탁월하게 묘사하는 다자이 오사무의 작품을 새롭게 읽는다. 순수하고 여린 심성의 젊은이가 인간 사회의 위선과 잔혹성을 견디지 못하고 파멸되어 가는 과정을 그린 소설로, 어느 세계에도 속하지 못한 채 인간 실격자로 전락한 주인공의 내면을 치밀한 심리묘사로 기록하였다. 다자이 작품 속의 타락과 자기파괴적 언행은 제2차 세계대전에서 패망한 후 공황상태에 빠진 일본 젊은이들의 의식을 반영하고 있다. 다자이 작품은 기성세대의 가치관 및 윤리관, 도덕관이 패전과 함께 붕괴되면서 기존 사회에 속한 모든 것을 거부하고 새로이 시작하고자 하는 처절한 몸부림을 담고 있다. 어떻게든 사회에 융화하고자 애쓰고, 인간에 대한 구애를 시도하던 주인공이 결국 모든 것에 배반당하고 인간 실격자가 되어가는 패배의 기록인 이.."
81,82,오만과 편견,제인 오스틴,"원문에 충실한 정확한 번역으로 만나는 『오만과 편견』!전혀 새로운 번역, 원문에 충실한 정확한 번역으로 만나는 『오만과 편견』. 영국인들이 가장 사랑하는 작가로 꼽힌 제인 오스틴의 대표작이자 출세작이다. 이 책은 10년에 걸친 기간 동안 철저한 원문 대조를 통해 원래의 의미와 문체를 생생히 살려낸 완역본으로, 원작의 가치와 재미를 그대로 살려내고자 했다. 특히, 기본의 번역서에서 빈번하게 발생되는 오역이나 부정확한 번역을 없애고, 원작을 그대로 충실하게 재현하고자 했다. 또한 작가 제인 오스틴의 문체적인 특징이나 기법을 최대한 살렸고, 당시 시대상에 맞도록 적절한 표현을 찾아 번역하려고 노력했다. 무엇보다도 원작의 단어 하나하나의 의미도 빠뜨리지 않고 번역하되, 자연스러운 한국어로 읽힐 수 있도록 했다. 하.."
82,83,1984,조지 오웰,"『동물농장』과 함께 조지 오웰을 대표하는 작품으로, 전제주의라는 거대한 지배 시스템 앞에 놓인 한 개인이 어떻게 저항하다가 어떻게 파멸해 가는지, 그 과정과 양상, 그리고 배후를 적나라하게 보여주는 디스토피아 소설이다. 작품의 무대인 오세아니아는 전체주의의 극한적인 양상을 띠고 있는 나라. 오세아니아의 정치 통제 기구인 당은 허구적 인물인 빅 브라더를 내세워 독재 권력의 극대화를 꾀하는 한편, 정치 체제를 항구적으로 유지하기 위해 텔레스크린, 사상경찰, 마이크로폰, 헬리콥터 등을 이용하여 당원들의 사생활을 철저하게 감시한다. 당의 정당성을 획득하는 것과 동시에 당원들의 사상적인 통제를 위해 과거의 사실을 끊임없이 날조하고, 새로운 언어인 신어를 창조하여 생각과 행동을 속박함은 물론, 인간의 기본적인 욕구인 .."
83,84,자기 앞의 생,로맹 가리,"유일하게 공쿠르 상을 두 번 받은 작가 로맹 가리하밀 할아버지, 사람은 사랑 없이도 살 수 있나요?‘휴머니즘의 작가’로 알려진 로맹 가리는 러시아 이민자 출신의 유태인이다. 2차세계대전 후 그는 세계 각지에서 외교관으로 일하면서 1956년에는 소설 『하늘의 뿌리』로 공쿠르 상을 수상했다. 그는 가명으로도 여러 소설을 발표했는데, 아자르의 이름으로 발표한 두번째 소설 『자기 앞의 생』으로 한 작가에게 결코 두 번 주어지지 않는다는 공쿠르 상을 수상하게 되면서 공쿠르 상을 두 번 받은 작가가 되었다. 작가는 자기의 실제 나이보다 많은 나이를 살고 있는 열네 살 모모의 눈을 통해 이해하지 못할 세상을 바라본다. 모모의 눈에 비친 세상은 결코 꿈같이 아름다운 세.."
84,85,위대한 개츠비,F. 스콧 피츠제럴드,20세기 미국문학을 대표하는 장편소설. 무능력한 부모에게서 태어난 개츠비는 성공의 야망을 품고 육군장교가 되어 데이지와 만나나 데이지는 돈많은 남자 뷰캐 넌과 결혼한다. 개츠비는 술을 밀조하여 엄청난 부를 누리게 되는데...오직 사랑하는 여인을 얻기 위해 살아 온 개츠비의 삶을 통해 과연 우리 삶에서 소중한 것이 무엇인지 생각하게 해준다. 20세기 가장 뛰어난 미국 소설로 꼽히는 <위대한 개츠비>가 민음사에서 출간되었다. 그동안 우리나라에서 출간된 <위대한 개츠비>는 수십 권에 달하며 현재 팔리고 있는 판본만 27종에 이른다. 이처럼 세대를 거듭하여 번역되고 읽히는 고전은 보통 텍스트가 정확하다고 생각하기 쉽지만 실제로는 그러하지 않은 경우가 허다하다. <위대한 개츠비> 역시..
85,86,구운몽,김만중,"<구운몽>은 조선 중기의 전형적인 양반 사회의 이상을 반영한 본격적인 고전 소설이다. 또한 귀족 문학에서 평민 문학으로 넘어가는 과도기적인 작품이며 현실에서 꿈으로, 다시 현길로 돌아오는 환몽 구조를 바탕으로 한 몽자류 소설의 효시다. 제목의 구운은 주인공 성진과 팔선녀을 가리키며, 인간의 삶을 나타났다 사라지는 구름에 비유하고 있으니 구운몽은 결국 이들 아홉 사람들이 꾼 꿈이다. 이 작품에서는 인생 무상, 일장춘몽, 즉 덧없음이라는 주제를 주인공 성진의 하룻밤 꿈을 통해 보여준다. 김만중의 <구운몽>은 오늘날에 이르기까지 환몽구조를 가진 작품들의 원형이 되고 있으며 그 주제 또한 변함없는 감동과 교훈을 주는 고전소설의 백미이다."
86,87,체호프 단편선,안톤 체호프,"러시아 단편문학의 천재 체호프가 쓴 웃음과 눈물의 대역전극. 대표작 ""관리의 죽음""에 국내에 처음 소개되는 체호프의 단편 9편을 포함 총 10편의 단편을 수록했다. 사소한 인물 군상을 통해 일상의 본질과 삶의 아이러니를 포착, 단순한 유머를 넘어서 우수 어린 서정적 미학을 창출해 낸 체호프의 작품 세계를 접할 수 있다."
87,88,설국,가와바타 야스나리,"일본 최초의 노벨문학상 수상작품. 그러나 가와바타 야스나리의 '설국'은 무슨무슨상으로 소개되기 보다는 그 자체의 서정적 아름다움을 강조하는 것이 책에 대한 예의가 아닐까 싶다. 이미 여러 번 번역되어 많은 사람들이 읽은 책이지만, 가와바타 야스나리 문장의 백미라 할 수 있는 '눈 지방의 정경을 묘사하는 서정성 뛰어난 감각적인 문체'를 표현하는 방법은 좀 더 여러가지 해석 및 번역을 허용하리라 생각된다. 이 작품의 특징은 인물과 배경 묘사가 치밀한 데 반해, 그 안의 두드러진 줄거리가 없다는 것이다. 인간 행위의 유한함을 자연의 무한함에 비교하려고 했던 저자의 의도를 간접적으로 느낄 수 있다."
88,89,연금술사,파울로 코엘료,"전세계 8천 5백만 독자가 읽은 전설적인 베스트셀러마음의 목소리에 귀기울이는 것이 얼마나 중요한지 증언하는 고귀한 성서, 진정 자기 자신의 꿈과 대면하고자 하는 모든 이를 축복하는 희망과 환희의 메시지, 세계적인 밀리언셀러 작가 파울로 코엘료의 『연금술사』가 신작 『히피』 출간과 함께 새로운 표지로 선보인다. 현재까지 전세계 81개 언어로 번역되어 8천 5백만 독자의 사랑을 받았고, 2009년 ‘한 권의 책이 가장 많은 언어로 번역된 작가’로 기네스북에 기록된 『연금술사』는 파울로 코엘료가 명실상부 세계적 작가의 명성을 얻게 한 작품이다. 주인공 양치기 산티아고를 중심으로 영혼의 연금술이라는 주제를 간명하게 표현한 이번 특별판은 2018년 12월부터 한정 수량으로 판매된다."
89,90,호밀밭의 파수꾼,제롬 데이비드 샐린저,"1951년 처음 발표된 이래 가장 사랑받는(특히 젊은이들로부터) 고전의 자리를 놓치지 않아온 J.D. 샐린저의 장편소설을 번역가 공경희씨가 다시 옮겼다. 마침 2001년은 <호밀밭의 파수꾼>이 발표된지 꼭 50년이 되는 해이다. 이 책은 지금도 여전히 매년 약 30만 부가 팔려나간다.소설은 홀든 콜필드라는 16세 소년이 학교에서 퇴학을 당한 후 집으로 돌아가기까지 단 2일간의 이야기를 주절주절 늘어놓은 것이다. 뉴욕 부르주아 집안의 아들이지만 허영과 위선으로 가득찬 사립학교와 사람들을 견디지 못하는 그의 독백이다.독자는 홀든이 정신병원(혹은 요양소)에 들어가 있다는 것을 이미 알지만, 홀든의 눈에 비친 세상을 꼭 홀든의 시각 그대로 보게 된다. 그의 영혼이 얼마나 순수하고 깨끗한 것인지도 알게 된.."
90,91,개미 1,베르나르 베르베르,"프랑스의 천재 작가 베르나르 베르베르의 〈개미〉는 인간 세계와 개미 세계의 만남과 대립에 이어 두 문명이 서로 이해하고 화합을 이루게 되는 장을 그려 내고 있다.〈개미〉는 우선 표면적으로는 소설에서 설정된 인간 사회와 개미 사회에서 일어나는 실종?살인 등을 추적해서 그 원인을 밝히는 추리 소설 양식과 개미들의 생태 등이 과학적 준거 위에서 치밀하게 관찰?묘사되는 과학 소설 양식이 한꺼번에 잘 녹아 있는 데서 감각적 재미가 얻어진다.그 자체로 흥미로운 〈추리+과학〉과 소설 양식의 얽힘은 그러나 단순히 그곳에서 머물지 않고 소설 속의 세 가지 이야기, 즉 인간들의 삶, 개미 사회의 삶, 백과사전 기록 등의 서사가 병치?나열되는 가운데 더욱 큰 미궁에 빠뜨리는 추리와 더욱 치밀해지는 놀라운 .."
91,92,달과 6펜스,윌리엄 서머셋 모옴,프랑스의 후기 인상파 화가 폴 고갱을 모델로 한 중년의 사내(스트릭랙드)가 달빛 세계의 마력에 끌려 6펜스의 세계를 탈출하는 과정을 그린 이야기. 세속의 세계에 대한 냉소 또는 인습과 욕망에 무반성적으로 매몰되어 있는 대중의 삶에 대한 풍자가 담겨있는 소설.
92,93,이반 데니소비치의 하루,알렉산드르 솔제니친,"1970년 노벨수상작가 솔제니친의 처녀작이자 대표작. 러시아의 저항 문학가 솔제니친이 진솔한 언어로 써내려간, 인간 존중에 대한 소설적 보고서. 구 소련 스탈린 시대를 배경으로 강제 노동수용소에 수감된 이반 데니소비치의 더없이 만족스러운, 재수가 썩 좋은 하루를 통해 인간으로서의 존엄성을 박탈하는 체제의 폭압을 비판하고 그 속에서도 희망을 찾아내려는 개인의 꺾이지 않는 의지를 정확한 등장인물 성격 묘사와 간결하고도 박력있는 문체, 작품 전체의 밑바닥을 흐르는 강인한 저항 정신 속에서 표현해냈다."
93,94,젊은 베르테르의 슬픔,요한 볼프강 폰 괴테,"연애 문학의 최고봉이며, 괴테를 형성하고 있는 여러 가지 요소와 경향이 음양으로 명백하게 아련하게 표명되어 있는 고전의 명작! 한때 자살자가 속출, 발매금지가 되기까지 한 문제의 소설이다."
94,95,파리대왕,윌리엄 골딩,"1983년 노벨상 수상작가의 대표 장편. 핵전쟁이 벌어진 위기상황에서 한떼의 영국 소년들이 후송되던 중 무인도에 불시착한다. 무인도에서 벌어지는 소년들의 삶과 죽음, 투쟁을 그린 작품으로 인간 본성의 결함에서 사회결함의 근원을 나타낸 소설이다. 일반적인 불안의 풍토 속에서 구상된 모험담으로 우화와 알레고리의 차원을 지닌 작품으로 폭발적인 호소력을 발휘한 소설이다."
95,96,멋진 신세계,올더스 헉슬리,1932년 발표한 고전소설. 과학의 발달로 인하여 인간 이 모두 인공적으로 제조되는 미래사회를 풍자적으로 그린 장편. 인간이 스스로 발견한 과학과 성앞에 노예로 전락하여 마침내 모든 인간적 가치와 존엄성을 상 실하는 비극을 묘사했다. 저자는 1894년 영국 출생.
96,97,"이반 데니소비치, 수용소의 하루",알렉산드르 솔제니친,한 개인의 비극적 운명을 통해 지배권력의 허상을 적 나라하게 폭로한 노벨상 수상작가의 대표작. 작가가 직접 경험한 노동수용소 생활의 하루 일상을 세련되고절제된 필치로 묘사했다. 이반 데니소비치라는 인물을통해 힘없는 자에 대한 숭고한 애정을 보여준다.
97,98,호밀밭의 파수꾼,제롬 데이비드 샐린저,20세기 최고의 미국 현대소설로 칭송받는 책. 존 레넌이 암살되던 때 피격자가 이 책을 들고 있던 것으로 유명하다. 넓은 호밀밭을 뛰어노는 아이들이 굴러떨어질 때 벼랑 끝에서 붙잡아주는 호밀밭의 파수꾼이 되고 싶어하는 주인공 홀든이 누군가 자신을 붙잡아주기를 바라며 헤매이는 48시간의 독백이다.
98,99,동물농장,조지 오웰,"1945년에 간행된 조지 오웰의 대표작. 어떤 농장의 동물들이 늙은 돼지 메이저의 부추김에 빠져 농장주의 압제에 대항해 반란을 일으켜 인간의 착취가 없는 `모든 동물이 평등한 이상사회`를 건설한다. 그러나 돼지들이 지도자가 되고 그 중에서도 힘이 세었던 스노볼을 돼지의 지도자 나폴레옹이 내쫓은 뒤로부터는 동물들이 옛날보다 더 혹독한 여건하에서 혹사를 당하게 된다. 이윽고 인간과의 거래가 부활하고 그 사회를 위하여 눈물겨운 투쟁을 했던 말 복서도 일할 수 없게 되자 도살용으로 인간에게 팔려서, 결국 돼지사회도 인간사회와 별 차이가 없는 것이 되고 만다고 하는, 권력과 스탈린주의에 대한 비판적인 풍자소설이다."
99,100,햄릿,윌리엄 셰익스피어,"영국 최고의 극작가 셰익스피어가 낳은 문제적 인간 ‘햄릿’삶과 죽음, 인간의 모든 문제를 담고 있는 극문학의 정수셰익스피어의 4대 비극 중 가장 유명하고 가장 대중의 사랑을 받는 작품인 『햄릿』. 1601년에 창작한 이 작품은 격변하는 르네상스기의 흐름을 반영하는 시대정신의 산물이자, 선과 악 사이에서 갈등하며 인간의 존재 이유를 묻는 햄릿을 통해 회의적 인간의 전형을 보여 준다. 갈릴레이와 동시대인인 셰익스피어는 당시 이탈리아에서 유입된 새로운 문화로 인해 영국 사회가 술렁이던 상황, 아울러 통치자이던 엘리자베스 여왕의 총애를 듬뿍 받던 에섹스 백작이 왕위 계승 문제로 한순간에 반란자가 되는 상황을 목도하고 『햄릿』을 구상했다. 셰익스피어는 햄릿이라는 문제적 인간을 내세워 동물과 대비되는 지성의 능력과 한.."
